value
12.67
1.5
9.4
18.46
18.4
14.37
8.96
15.8
11.2
73.0
10.0
50.0
15.0
13.2
15.0
15.67
44.0
51.0
44.0
44.0
15.0
44.0
43.0
11.33
50.0
14.67
49.0
48.0
14.0
48.0
45.0
46.0
46.0
