value
7.349467229
-1.846037773
5.015438322
-2.677419171
1.007191297
4.043594135
1.687454953
-1.739418713
-1.703891491
1.007190497
0.9028594
2.874147182
3.876492618
2.560332069
-2.690509135
1.12975545
4.758023206
4.477934741
3.998472867
4.680206232
3.154275249
4.164328992
5.353028149
4.255163869
5.754290708
3.783602631
5.213303718
-1.310290518
-0.689751616
1.215579406
-2.265854056
-0.010591032
-3.512559844
-1.877595211
