ATSC5c,ATSC6c,AATSC3dv,MATS4dv,GATS3v
-0.302275528,-1.081319302,0.583995459,0.211066073,-1.728089027
-0.218796103,-1.081319302,-0.102016655,-0.219873426,-1.47383256
-0.437091022,-1.081319302,0.361057889,0.020849025,-1.591640013
1.797264548,-0.809206933,-0.419716137,0.615187232,-1.193087771
0.239482176,0.329762379,0.74919449,-0.467666909,-0.495510721
1.159371704,-0.235714592,0.052931365,-1.230767567,-0.197793587
-0.030148813,0.329762379,0.30331935,-0.848101005,-0.222612693
-1.760689487,2.085224105,-0.221822967,0.386490298,1.133909143
-1.653696708,2.085224105,-0.243242166,-0.1417423,1.239210775
0.641823797,0.329762379,1.115014485,-0.846694592,0.445139826
-0.162859446,0.329762379,0.383374496,-0.088639227,-1.436161267
-0.096504129,0.329762379,0.343346923,-0.468370116,-0.82938698
1.294187199,-0.235714592,0.275868935,-1.040550519,-0.334242601
0.038311365,0.329762379,0.566284493,-0.278153068,-0.965835994
0.255371164,2.357336473,-0.539522449,1.221550956,1.414653932
0.244082763,1.74084406,0.325635957,-0.957589257,-0.067133947
0.294785025,-0.658516947,0.2470222,-0.225228382,-1.501491087
1.099468268,-0.658516947,0.978662189,-0.983283747,0.379810006
0.427495658,-0.658516947,0.166967054,-0.98469016,-0.287942513
-0.302275528,-1.081319302,0.38228724,1.254510827,1.66571939
0.56020629,-0.658516947,0.086911908,-1.744151939,0.925606061
0.697126646,-0.658516947,0.612842194,-0.604256064,-0.560840541
-0.101104717,-1.081319302,0.666051346,0.543274609,0.439140455
-0.370735706,-1.081319302,0.220176206,0.162840513,0.712038483
-0.302275528,-1.081319302,0.483141349,0.73278845,-0.031184818
-0.238025073,-1.081319302,0.140121061,-0.596621266,1.925587057
0.301236904,-1.081319302,1.031871341,0.164246926,1.379791001
-0.882750016,0.501952402,-0.18333901,-0.444924162,-0.064660077
-1.274393031,0.501952402,-4.500552918,3.415810793,0.774591541
-1.274393031,0.501952402,0.341182306,0.703761777,-0.894543449
-0.705092559,0.501952402,-0.665021928,-0.537144905,0.554620031
-1.274393031,0.501952402,-2.079685306,2.059786285,-0.059975954
3.327028743,1.046177138,-1.300420892,1.132976412,1.116109609
-0.989742795,0.501952402,-0.161919811,0.083308436,-0.169961709
