value
24.8
19.2
44.0
23.0
8.48
8.7
21.0
45.0
5.1
4.2
8.56
28.0
47.0
7.0
37.0
38.0
15.3
12.0
44.0
5.0
22.0
3.7
12.0
22.0
9.0
44.0
15.0
1.45
4.81
25.5
5.0
19.3
8.4
43.0
34.0
